Id;lloc_de_gravacio;Nom_fitxer;YouTube_logotips;Incrustació_logotips;adreca_html;grup_edat;data_enregistrament;codi_informant;Activitat;Etiquetes;Gènere discursiu;;;;;;;;;;;;;;;
30;2;CORPUS 00002 NC G 150626;https://youtu.be/rKM_pKhhwJE;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/rKM_pKhhwJE"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/bUa11UYu2c8;18-30 anys;26/6/2015;NC;2;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
31;2;CORPUS 00002 KS G 150626;https://youtu.be/l-Ex7zOGNdk;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/l-Ex7zOGNdk"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/OrVCGiVXujg;18-30 anys;26/6/2015;KS;2;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
32;2;CORPUS 00002 FN G 141115;https://youtu.be/GnjPdSOVnDE;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/GnjPdSOVnDE"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/bK5qRacxEtA;31-50 anys;15/11/2014;FN;2;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
33;2;CORPUS 00002 BQ G 141115;https://youtu.be/veM6LI_QWno;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/veM6LI_QWno"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/4Y6qGvvQENE;31-50 anys;15/11/2014;BQ;2;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
34;9;CORPUS 00003 CG;https://youtu.be/5Yc1u-YxTfc;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/5Yc1u-YxTfc"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/NEQ93uD0FtY;18-30 anys;3/10/2013;CG;3;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
35;1;CORPUS 00003 KW;https://youtu.be/s1n1imepayw;"<iframe width=""642"" height=""361"" src=""https://www.youtube.com/embed/s1n1imepayw"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/i_TcX7GT8gg;31-50 anys;31/8/2013;KW;3;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
36;1;CORPUS 00003 KD;https://youtu.be/C1YxSLEVb2Y;"<iframe width=""642"" height=""361"" src=""https://www.youtube.com/embed/C1YxSLEVb2Y"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/jMJ2ZX-luCs;51-80 anys;30/8/2013;KD;3;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
37;2;CORPUS 00003 NC G 150626;https://youtu.be/y__eYXxJM3g;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/y__eYXxJM3g"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/YP0dteM9VHM;18-30 anys;26/6/2015;NC;3;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
38;2;CORPUS 00003 KS G 150626;https://youtu.be/Z2hH5AOSeMM;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/Z2hH5AOSeMM"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/4SY_ozgayZs;18-30 anys;26/6/2015;KS;3;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
39;2;CORPUS 00003 FN;https://youtu.be/-Q9JStVH6oA;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/-Q9JStVH6oA"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/IPUtPpxBtZE;31-50 anys;15/11/2014;FN;3;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
